customer_message,true_intent,predicted_intent,confidence,retrieval_score,decision,reason,historical_evidence,correct
@Uber_Support See you guys making situation complicated. Pls confirm do you charge for UP toll charges when the cab is already in UP.????,fare_payment,fare_payment,0.8601882185401664,1.0000000000000002,AUTO-HANDLE,Intent confidence and historical evidence are sufficient.,"[{""customer_message"": ""@Uber_Support See you guys making situation complicated. Pls confirm do you charge for UP toll charges when the cab is already in UP.????"", ""uber_response"": ""@199948 Happy to help! Looks like you were charged the UP tax and our team has correctly advised you in your original support thread. Please reply to us in-app or by e-mail and we'll gladly follow up."", ""similarity"": 1.0000000000000002}, {""customer_message"": ""@Uber_Support Not Happy with the response . As in your Co. Nobody talking abt refund. u cant charge for a toll of a state where I boarded the cab as per law. In this case UP. Pls confirm if you can refund or I need to go court? https://t.co/DzZIji2RdK"", ""uber_response"": ""@199948 Thank you for reaching out. A member of our team has followed up with you via email. From there you can reply with any further inquiries and questions you may have in regards to this concern. Please let us know if you have any additional questions or concerns."", ""similarity"": 0.27603733926084123}, {""customer_message"": ""@115873,how can you charge toll fee, when there is no tall on the way. https://t.co/5fBJEJIERq"", ""uber_response"": ""@626993 Here to help! Send us a note here; https://t.co/g8RI0oELEy and our team will be able to help."", ""similarity"": 0.23562992429689839}]",1
@Uber_Support having an issue with my account. Trying to buy the ride pass but it’s saying that I have an outstanding payment that I shouldn’t have.,fare_payment,fare_payment,0.7721534264918597,1.0000000000000002,AUTO-HANDLE,Intent confidence and historical evidence are sufficient.,"[{""customer_message"": ""@Uber_Support having an issue with my account. Trying to buy the ride pass but it’s saying that I have an outstanding payment that I shouldn’t have."", ""uber_response"": ""@730195 We're happy to check on this with you. Please connect with us at https://t.co/V8YvTNr37q so we can take a look directly."", ""similarity"": 1.0000000000000002}, {""customer_message"": ""@Uber_Support Thank you!! How can I buy the ride pass?"", ""uber_response"": ""@213354 Hi there, we're here to help! You can check this link https://t.co/3h8wdQ4EJK to learn more about purchasing ride pass."", ""similarity"": 0.3700430524242706}, {""customer_message"": ""@Uber_Support Im trying to buy an uber ride pass Its saying my payment cannot be accepted. Y the fuck is @115873 still taking the money out?"", ""uber_response"": ""@178011 We'd be happy to look into this for you. Please DM us your Uber account email address so we can connect. https://t.co/sd7yH5jmbJ"", ""similarity"": 0.3506187744361324}]",1
@115873 hope there's a lag in my credit to my account because my app is telling me I've been credited $5.00 🙃 https://t.co/aFcdQBraC5,fare_payment,general_support,0.7451882204750052,1.0,AUTO-HANDLE,Intent confidence and historical evidence are sufficient.,"[{""customer_message"": ""@115873 hope there's a lag in my credit to my account because my app is telling me I've been credited $5.00 🙃 https://t.co/aFcdQBraC5"", ""uber_response"": ""@279216 Happy to help! Please reach out to https://t.co/zUe0dj6yoX and fill out the 4 boxes at the bottom so we can get in touch."", ""similarity"": 1.0}, {""customer_message"": ""@115873 I hope to hear back on my complaint about this.."", ""uber_response"": ""@293400 Happy to further assist you. Can you please send us a direct message with your email address and additional details regarding your concern?"", ""similarity"": 0.25319466654137024}, {""customer_message"": ""@Uber_Support The app has been showing this since 14:00 😭 https://t.co/WTXrRroYQC"", ""uber_response"": ""@695439 We're so sorry you didn’t get your free Original Glazed Dozen box. Demand was through the roof and stocks ran out! Stay tuned for more fun promotions soon!"", ""similarity"": 0.24214679619168972}]",0
@115873 My phone is 954-554-4853. Last night my driver of Chevrolet Equinox DVDC57 was lost. I watched him on map. I cancelled after seeing him wander in other directions. Was charged both $13. + $24.19 for next ride. Pls refund $24.19.,fare_payment,lost_item,0.7579047354186655,1.0,AUTO-HANDLE,Intent confidence and historical evidence are sufficient.,"[{""customer_message"": ""@115873 My phone is 954-554-4853. Last night my driver of Chevrolet Equinox DVDC57 was lost. I watched him on map. I cancelled after seeing him wander in other directions. Was charged both $13. + $24.19 for next ride. Pls refund $24.19."", ""uber_response"": ""@136346 We can take a look! Send us a note via https://t.co/1xM0TILvAI so our team can get in touch."", ""similarity"": 1.0}, {""customer_message"": ""@115873 TU for removing $13. charge, however, that was the fare I booked; due to driver's fault, I had to cancel &amp; rebook. So I feel the $24. + $5. should have been removed instead. Not fair to consumer. 954-554-4853"", ""uber_response"": ""@136346 A member of our team will be in contact with you shortly via email, which can also be found in the \""Help\"" section of the app."", ""similarity"": 0.34941101671732056}, {""customer_message"": ""@Uber_Support I was charged $13 extra for being late - do better"", ""uber_response"": ""@297555 We can take a closer look - DM us with the trip details, along with your account email so we can follow up."", ""similarity"": 0.2059527576988389}]",0
@115873 @Uber_Support Driver staged vomiting in the car and charged me $150. Everybody was sober. Uber won’t refund. Help.,fare_payment,fare_payment,0.996415496181988,1.0000000000000002,AUTO-HANDLE,Intent confidence and historical evidence are sufficient.,"[{""customer_message"": ""@115873 @Uber_Support Driver staged vomiting in the car and charged me $150. Everybody was sober. Uber won’t refund. Help."", ""uber_response"": ""@709336 We can definitely take a closer look! Contact us here https://t.co/a6RfeBkKmr so we can help."", ""similarity"": 1.0000000000000002}, {""customer_message"": ""My @115873 account was hacked and Uber won't give me a refund."", ""uber_response"": ""@275283 We're sorry to hear this, Emma! Can you please send us a DM here with your email address associated with your Uber account so we can look into this for you?"", ""similarity"": 0.2838924965519117}, {""customer_message"": ""@Uber_Support @Uber_Support apparently the driver staged a scene saying as grown as I am, I decided to urinate in her vehicle. What's the protocol for staged pictures!?! https://t.co/GD1Na81Ojz"", ""uber_response"": ""@149344 We're here to help! Send us a DM with your email address so we can assist."", ""similarity"": 0.2809423760046315}]",1
So @Uber_Support why did you just cancel my trip for no reason? I can't afford to resend it again after you already charge my card. What the hell? So I'm late for work because of this.,fare_payment,fare_payment,0.5133982758890404,1.0000000000000002,ESCALATE,Intent classification confidence is below the auto-handle threshold.,"[{""customer_message"": ""So @Uber_Support why did you just cancel my trip for no reason? I can't afford to resend it again after you already charge my card. What the hell? So I'm late for work because of this."", ""uber_response"": ""@408748 Sorry for the trouble! Send us a note here, https://t.co/e8HVorX5rh and our team will be in touch."", ""similarity"": 1.0000000000000002}, {""customer_message"": ""@Uber_Support I did. It just sent me the same thing again"", ""uber_response"": ""@372475 We're here to help, Victoria. Please DM us your Uber email, phone #, and whether you're signing up to ride or drive. https://t.co/sd7yH5jmbJ"", ""similarity"": 0.2854971590838342}, {""customer_message"": ""WTF why did you just cancel my @148768 order @115877"", ""uber_response"": ""@693620 We're sorry for the trouble, we're working hard to sort a technical issue caused by high demand. Please doughnut worry, there will still be plenty of time to order. If you're not immediately connected, do try again"", ""similarity"": 0.2740396606267803}]",1
@Uber_Support I don't speed have no History of tickets and I'm surprised that I was sent a message today about my driving. At a loss. And that goes to show you that some of your riders aren't always the source for feedback as many of them are in a bad mood to begin with.,driver_issue,driver_issue,0.7640339806513038,1.0000000000000002,AUTO-HANDLE,Intent confidence and historical evidence are sufficient.,"[{""customer_message"": ""@Uber_Support I don't speed have no History of tickets and I'm surprised that I was sent a message today about my driving. At a loss. And that goes to show you that some of your riders aren't always the source for feedback as many of them are in a bad mood to begin with."", ""uber_response"": ""@282233 We can definitely take a look! Send us a DM with your email address so we can follow up."", ""similarity"": 1.0000000000000002}, {""customer_message"": ""@Uber_Support I have sent you a message!"", ""uber_response"": ""@238730 We weren't able to find an account with the email provided, Anil. Can you think of any other email you may have used during sign up?"", ""similarity"": 0.23666661791047422}, {""customer_message"": ""@Uber_Support I have sent you a message!"", ""uber_response"": ""@238730 We've followed up via DM!"", ""similarity"": 0.23666661791047422}]",1
@115873 you have a bad driver Karen driving a bmw in Miami. He claimed he went by us and then said we had too many bags paid 2 cancel fees,driver_issue,driver_issue,0.5220514764580299,1.0000000000000002,ESCALATE,Intent classification confidence is below the auto-handle threshold.,"[{""customer_message"": ""@115873 you have a bad driver Karen driving a bmw in Miami. He claimed he went by us and then said we had too many bags paid 2 cancel fees"", ""uber_response"": ""@437276 Here to help! Send us a note here; https://t.co/e8HVorX5rh and our team will be able to help."", ""similarity"": 1.0000000000000002}, {""customer_message"": ""@115873 So bad ever ."", ""uber_response"": ""@130510 We're here to help! Send us a DM with your email address and more details so we can follow up."", ""similarity"": 0.31925685884136595}, {""customer_message"": ""@115873 very bad service"", ""uber_response"": ""@337746 We're here to help! Please send us a DM with your email address and more details so we can follow up."", ""similarity"": 0.24227302962506286}]",1
Should I tip my uber eats driver or does that come out of the fee?,delivery_issue,delivery_issue,0.9918223439944943,1.0,AUTO-HANDLE,Intent confidence and historical evidence are sufficient.,"[{""customer_message"": ""Should I tip my uber eats driver or does that come out of the fee?"", ""uber_response"": ""@348328 Hey, Bailey. For more information please visit the following page https://t.co/zqswAfUkwJ."", ""similarity"": 1.0}, {""customer_message"": ""So are you supposed to tip uber eats drivers or no?"", ""uber_response"": ""@684995 Happy to help! Find more information here - https://t.co/r06229QMLK"", ""similarity"": 0.42403432396757573}, {""customer_message"": ""@115877 hi can you tip through the Uber eats app?"", ""uber_response"": ""@608314 Hi, Krish - you're welcome to tip through the UberEATS app. Please check out the following page to learn more: https://t.co/zqswAfUkwJ."", ""similarity"": 0.40924089798946084}]",1
@Uber_Support Over 90 minutes with no response to missing items with my eats delivery. Do you even have support? I feel like the name lies,lost_item,delivery_issue,0.9671742637488269,1.0000000000000002,AUTO-HANDLE,Intent confidence and historical evidence are sufficient.,"[{""customer_message"": ""@Uber_Support Over 90 minutes with no response to missing items with my eats delivery. Do you even have support? I feel like the name lies"", ""uber_response"": ""@119064 Here to help. Send us a note at https://t.co/ZFaWy0Lkdu so our team can connect."", ""similarity"": 1.0000000000000002}, {""customer_message"": ""How fast is uber eats in delivery ?"", ""uber_response"": ""@451560 Hi there! Please visit this link; https://t.co/XIlkOBtUEy to know more about estimating time of delivery."", ""similarity"": 0.29704764947054224}, {""customer_message"": ""@Uber_Support uber eats order missing items!!!!"", ""uber_response"": ""@682024 We're sorry to hear this was your experience. Contact us via https://t.co/ZFaWy0Lkdu and we'll be in touch."", ""similarity"": 0.29445365721607003}]",0
